,TSNE_1,TSNE_2,cluster_assignment
134565,-4.025929,38.028557,61 OPC                         
74776,11.187742,58.47097,66 VLMC Slc6a13                
50269,-30.873539,1.4574977,53 Unresolved                  
43719,-42.529564,9.078133,53 Unresolved                  
143418,-6.319976,-7.1974792,53 Unresolved                  
41324,-26.521471,-24.946125,53 Unresolved                  
159679,-27.657774,-44.61371,53 Unresolved                  
10745,-12.170854,-33.074417,53 Unresolved                  
97626,-3.2491765,-35.64525,9 CTX PyrL2/L3/L4 Mef2c        
34817,19.879433,50.418983,71 Bergmann Glia               
117917,-9.826451,-35.648167,53 Unresolved                  
83436,-12.959114,-20.675114,53 Unresolved                  
82619,-10.087266,-33.196728,5 CTX PyrL2/L3 Pappa2          
68419,-10.369485,-15.191869,20 THAL Glut                   
7206,8.086873,-39.093445,9 CTX PyrL2/L3/L4 Mef2c        
26383,-8.643267,-45.96601,15 CTX PyrL5/L6 Sulf1          
145809,26.324726,2.265435,46 Migrating Int Cpa6          
54359,-21.213337,-43.902008,12 CTX PyrL5 Itgb3             
148046,-29.010649,-19.884579,4 Medium Spiny Neurons         
131783,19.30228,-18.517637,4 Medium Spiny Neurons         
47383,-4.5928626,35.26051,61 OPC                         
106948,-28.411106,-20.754429,53 Unresolved                  
125210,-11.187847,-50.925938,17 CTX PyrL6                   
3646,46.01473,2.2962682,28 CB Granule                  
7177,6.0134125,-4.99244,53 Unresolved                  
114019,38.54861,18.825489,25 CB Granule Precursor        
23817,-7.9312186,-16.973421,53 Unresolved                  
20238,23.829126,-0.13100676,46 Migrating Int Cpa6          
2448,35.001022,22.139376,36 HIPP Granule Mki67          
115622,-45.785824,8.170663,53 Unresolved                  
53203,23.916258,42.35866,69 Astro Prdm16                
6236,5.358184,-14.527935,9 CTX PyrL2/L3/L4 Mef2c        
5036,34.894,24.855062,25 CB Granule Precursor        
132306,35.75196,23.668375,29 CB Int Precursor            
123121,14.24881,-11.511451,53 Unresolved                  
35742,-18.294027,-8.83373,53 Unresolved                  
17258,10.0770855,-24.397402,39 HIPP Granule Nrp2           
37324,-5.6582212,-28.962347,9 CTX PyrL2/L3/L4 Mef2c        
101311,-28.698505,-2.0318356,53 Unresolved                  
149865,19.972858,45.35301,69 Astro Prdm16                
