,TSNE_1,TSNE_2,ClusterName
0,13.562033,54.175446,SCGLU5
1,43.89414,-2.6943495,SCGLU5
2,34.802143,-22.183123,SCGLU5
3,37.84793,-1.5850248,SCGLU5
4,34.61272,-3.6022925,SCGLU5
5,27.287718,-11.370359,SCGLU5
6,27.736633,-6.5048876,SCGLU5
7,7.151854,11.9457,SCGLU5
8,38.15799,-12.340816,SCGLU5
9,38.907032,-9.501408,SCGLU5
10,30.60839,-24.060629,SCGLU5
11,41.16081,-1.9676335,SCGLU5
12,13.719569,50.615818,SCGLU5
13,37.37322,-9.896551,SCGLU5
14,38.227707,0.1615653,SCGLU5
15,13.008311,52.206226,SCGLU5
16,35.942265,-2.1730561,SCGLU5
17,10.027318,6.924704,SCGLU5
18,36.465504,-6.662285,SCGLU5
19,14.2723465,51.18671,SCGLU5
20,33.635967,-6.8942885,SCGLU5
21,33.895306,-3.678052,SCGLU5
22,34.32877,-25.35049,SCGLU5
23,29.810585,-10.9548645,SCGLU5
24,36.224266,-0.8350017,SCGLU5
25,28.212448,-14.048852,SCGLU5
26,27.867031,-8.736765,SCGLU5
27,34.573254,-2.9001606,SCGLU5
28,37.481518,-12.170735,SCGLU5
29,37.15612,-5.2868195,SCGLU5
30,28.577238,-10.209985,SCGLU5
31,41.974033,-11.074671,SCGLU5
32,12.728292,53.09952,SCGLU5
33,11.843217,52.12135,SCGLU5
34,33.47915,-0.433933,SCGLU5
35,42.252747,-0.18212493,SCGLU5
36,32.705517,-7.827733,SCGLU5
37,12.50729,54.405273,SCGLU5
38,29.065777,-11.107417,SCGLU5
39,11.649501,53.19393,SCGLU5
40,37.075127,-3.8367095,SCGLU5
41,-4.5943875,25.521313,SCGLU5
42,33.24378,-5.0751743,SCGLU5
43,15.37986,51.813248,SCGLU5
44,12.953312,53.368706,SCGLU5
45,28.091242,-9.31157,SCGLU5
46,13.90666,54.050137,SCGLU5
47,12.2996235,50.12016,SCGLU5
48,12.867144,53.912872,SCGLU5
49,37.69102,-4.709675,SCGLU5
50,13.9958935,50.49285,SCGLU5
51,12.986504,51.479404,SCGLU5
52,27.444426,-6.770242,SCGLU5
53,41.103252,0.012400462,SCGLU5
54,36.0228,-4.3078074,SCGLU5
55,36.28956,-0.63445175,SCGLU5
56,36.780228,-2.693217,SCGLU5
57,-0.62435263,47.96681,SCGLU5
58,30.902473,-4.117598,SCGLU5
59,39.934486,1.073833,SCGLU5
60,-30.84938,14.721324,SCGLU5
61,11.488587,49.457436,SCGLU5
62,31.912544,-7.527184,SCGLU5
63,35.53268,-2.9958928,SCGLU5
64,41.79369,-15.284587,SCGLU5
65,37.6205,-5.98843,SCGLU5
66,38.084095,-21.39436,SCGLU5
67,34.539017,-1.956518,SCGLU5
68,41.29045,-0.027619107,SCGLU5
69,11.941576,51.947063,SCGLU5
70,36.001663,-25.836557,SCGLU5
71,33.6086,-5.781668,SCGLU5
72,35.595062,-5.4339714,SCGLU5
73,34.068844,-6.627521,SCGLU5
74,29.778023,-11.391868,SCGLU5
75,40.828976,-7.3675547,SCGLU5
76,39.333607,-14.767116,SCGLU5
77,35.445827,-24.730711,SCGLU5
78,38.19439,-25.10397,SCGLU5
79,46.201973,-8.440858,SCGLU5
80,40.300938,-15.964334,SCGLU5
81,42.77115,-18.280031,SCGLU5
82,42.28746,-9.500795,SCGLU5
83,40.717007,-11.613806,SCGLU5
84,39.497482,-6.31334,SCGLU5
85,42.25245,-17.004547,SCGLU5
86,38.96475,-7.9849386,SCGLU5
87,37.334576,-23.72637,SCGLU5
88,43.954823,-21.619543,SCGLU5
89,35.075447,-20.614027,SCGLU5
90,36.124493,-21.667528,SCGLU5
91,42.733055,-5.9596963,SCGLU5
92,36.17423,-7.128475,SCGLU5
93,36.433716,-24.987139,SCGLU5
94,45.091896,-4.162382,SCGLU5
95,34.927086,-5.3606033,SCGLU5
96,14.131929,52.510452,SCGLU5
97,40.73244,-16.875292,SCGLU5
98,43.14102,-15.429182,SCGLU5
99,40.83249,-22.555117,SCGLU5
100,38.716442,-8.056177,SCGLU5
101,38.369007,-17.40609,SCGLU5
102,35.46593,-13.392987,SCGLU5
103,43.37535,-8.475927,SCGLU5
104,39.06719,-13.613479,SCGLU5
105,42.27657,-21.272268,SCGLU5
106,41.101162,-7.651023,SCGLU5
107,35.35861,-20.111563,SCGLU5
108,41.330887,-19.923727,SCGLU5
109,45.965336,-8.060224,SCGLU5
110,37.199833,-22.649632,SCGLU5
111,37.298004,-14.021678,SCGLU5
112,38.14103,-20.932941,SCGLU5
113,42.161797,-13.450681,SCGLU5
114,36.738056,-24.78397,SCGLU5
115,41.433872,-24.01499,SCGLU5
116,36.59849,-23.476254,SCGLU5
117,40.90432,-5.153236,SCGLU5
118,40.234417,-19.116375,SCGLU5
119,40.247902,-17.799755,SCGLU5
120,39.15325,-21.495308,SCGLU5
121,40.58098,-18.108036,SCGLU5
122,37.870934,-23.143137,SCGLU5
123,41.885677,-20.83284,SCGLU5
124,46.092747,-8.6839485,SCGLU5
125,44.62483,-1.4470936,SCGLU5
126,39.22282,-1.683567,SCGLU5
127,34.89131,-4.068269,SCGLU5
128,34.42718,-13.906086,SCGLU5
129,42.799892,-16.616352,SCGLU5
130,39.159794,-10.833648,SCGLU5
131,37.18672,-23.054502,SCGLU5
132,39.902042,-12.815771,SCGLU5
133,39.34526,-23.285397,SCGLU5
134,40.855354,-18.633558,SCGLU5
135,42.35426,-19.786879,SCGLU5
136,42.546177,-22.276161,SCGLU5
137,37.337246,-24.777197,SCGLU5
138,43.235317,-1.681394,SCGLU5
139,45.41039,-12.581156,SCGLU5
140,36.955208,-8.891213,SCGLU5
141,37.30606,-16.361797,SCGLU5
142,26.928524,-5.9014883,SCGLU5
143,33.977444,-4.5169687,SCGLU5
144,44.098003,-17.800837,SCGLU5
145,41.129066,-5.5175114,SCGLU5
146,40.921425,-10.933838,SCGLU5
147,39.62723,-17.383678,SCGLU5
148,34.92505,1.8628978,SCGLU5
149,42.016266,-6.274604,SCGLU5
150,42.87296,-8.312723,SCGLU5
151,45.06032,-8.006387,SCGLU5
152,37.97061,-10.619234,SCGLU5
153,-31.857496,15.213896,SCGLU5
154,38.991817,-21.973799,SCGLU5
155,41.106705,-12.546045,SCGLU5
156,41.241447,-17.483807,SCGLU5
157,36.88125,-11.235931,SCGLU5
158,31.567974,-24.199144,SCGLU5
159,44.07904,-1.9351859,SCGLU5
160,43.1445,-5.359779,SCGLU5
161,36.503155,-25.294052,SCGLU5
162,42.653873,-9.041728,SCGLU5
163,38.018425,-17.167923,SCGLU5
164,40.679905,-15.725157,SCGLU5
165,34.754074,-13.957696,SCGLU5
166,40.25115,-13.980239,SCGLU5
167,39.228516,-18.47408,SCGLU5
168,35.914307,-25.268175,SCGLU5
169,43.624527,-15.39911,SCGLU5
170,34.18932,-25.560995,SCGLU5
171,37.366684,-2.7340677,SCGLU5
172,42.185135,-18.87822,SCGLU5
173,31.356125,-9.765593,SCGLU5
174,45.41744,-1.9283966,SCGLU5
175,37.475983,-1.3391719,SCGLU5
176,42.323822,-12.881506,SCGLU5
177,34.75178,-23.901157,SCGLU5
178,29.535048,-10.2634735,SCGLU5
179,34.507942,-25.17091,SCGLU5
180,13.844969,53.583534,SCGLU5
181,30.360441,-10.276692,SCGLU5
182,12.724063,51.672283,SCGLU5
183,36.945694,-6.392097,SCGLU5
184,28.67511,-10.541271,SCGLU5
185,12.290027,49.907856,SCGLU5
186,37.78752,-23.194733,SCGLU5
187,40.403564,-4.5018086,SCGLU5
188,42.92688,-3.466512,SCGLU5
189,27.677158,-8.144751,SCGLU5
190,39.046703,-4.0313163,SCGLU5
191,33.79129,-5.0629306,SCGLU5
192,13.783024,49.846603,SCGLU5
193,44.055748,-2.2496355,SCGLU5
194,39.98235,1.0819325,SCGLU5
195,13.503202,50.450104,SCGLU5
196,34.778706,-24.492622,SCGLU5
197,40.171894,-1.464611,SCGLU5
198,14.731007,53.448807,SCGLU5
199,39.468525,-15.653541,SCGLU5
200,14.600724,50.86893,SCGLU5
201,39.1474,-1.0888482,SCGLU5
202,-4.282187,-22.607008,SCGLU5
203,42.60109,-19.87299,SCGLU5
204,38.735394,-23.060478,SCGLU5
205,14.515862,53.14855,SCGLU5
206,33.84897,-0.9119946,SCGLU5
207,14.173425,52.45696,SCGLU5
208,37.523586,-8.056884,SCGLU5
209,9.280045,9.375239,SCGLU5
210,40.08491,-1.7018485,SCGLU5
211,44.575302,-3.7171218,SCGLU5
212,41.3979,-14.722251,SCGLU5
213,44.213505,-2.5055754,SCGLU5
214,40.839436,-7.1373005,SCGLU5
215,41.35016,-20.849659,SCGLU5
216,40.940163,-15.974877,SCGLU5
217,39.238144,-0.8222081,SCGLU5
218,-12.232643,22.411386,SCGLU5
219,44.066025,-21.407602,SCGLU5
220,41.14326,-22.400652,SCGLU5
221,12.820401,7.5335674,SCGLU5
222,30.78204,-3.8969696,SCGLU5
223,43.75851,-3.7092547,SCGLU5
224,36.67242,-22.35376,SCGLU5
225,40.85673,-11.927585,SCGLU5
226,40.65274,-3.5245605,SCGLU5
227,40.130947,-8.640951,SCGLU5
228,45.396263,-12.556115,SCGLU5
229,40.566334,-20.024843,SCGLU5
230,39.9401,-22.579687,SCGLU5
231,39.405483,-19.847406,SCGLU5
232,40.21622,-21.32699,SCGLU5
233,42.137756,-18.041018,SCGLU5
234,37.645332,-22.120415,SCGLU5
235,35.942326,10.001087,SCGLU5
236,42.40887,-15.207129,SCGLU5
237,44.044235,-8.033788,SCGLU5
238,46.900856,-1.8744085,SCGLU5
239,44.25996,-20.565228,SCGLU5
240,41.986153,-1.8467613,SCGLU5
241,35.100765,-9.102259,SCGLU5
242,42.064053,-23.236563,SCGLU5
243,41.30492,-5.59988,SCGLU5
244,36.678944,-2.9222991,SCGLU5
245,42.901062,-11.33035,SCGLU5
246,40.633728,-21.054768,SCGLU5
247,37.055183,-21.990963,SCGLU5
248,37.99269,-18.597626,SCGLU5
249,38.199764,-11.58034,SCGLU5
250,42.83143,-2.8846462,SCGLU5
251,37.252377,-20.184935,SCGLU5
252,66.168655,0.71536744,SCGLU6
253,70.29731,-11.145305,SCGLU6
254,-7.901958,-19.786983,SCGLU6
255,69.97373,1.1053066,SCGLU6
256,8.882718,51.706276,SCGLU6
257,67.12984,-0.95822746,SCGLU6
258,70.512794,0.88135695,SCGLU6
259,68.21815,-5.6656046,SCGLU6
260,71.11672,2.2918534,SCGLU6
261,69.8204,2.7588232,SCGLU6
262,63.520554,-2.9147325,SCGLU6
263,69.91184,-4.4318495,SCGLU6
264,70.5051,-8.68175,SCGLU6
265,60.745537,-1.5545353,SCGLU6
266,68.4151,-0.9954956,SCGLU6
267,66.96951,-4.1892767,SCGLU6
268,72.52322,-3.765445,SCGLU6
269,62.651054,0.2563309,SCGLU6
270,66.63385,-3.1200476,SCGLU6
271,72.43424,-10.21148,SCGLU6
272,68.69771,1.4748337,SCGLU6
273,71.54502,-11.30254,SCGLU6
274,64.25649,-2.0638852,SCGLU6
275,66.4942,-3.348252,SCGLU6
276,67.62049,1.4747423,SCGLU6
277,70.93127,-9.16928,SCGLU6
278,71.06661,-10.195126,SCGLU6
279,13.368052,51.552475,SCGLU6
280,70.76725,-7.9983735,SCGLU6
281,70.81144,3.0927155,SCGLU6
282,9.700165,53.535076,SCGLU6
283,11.233362,53.65934,SCGLU6
284,71.548965,2.6289654,SCGLU6
285,66.21286,-1.4005371,SCGLU6
286,70.49141,-2.2715652,SCGLU6
287,68.751015,0.3519519,SCGLU6
288,70.99792,-11.024281,SCGLU6
289,68.10841,2.9803565,SCGLU6
290,7.1539326,50.030777,SCGLU6
291,65.16084,-0.585109,SCGLU6
