,TSNE_1,TSNE_2,cluster_assignment
134565,70.64907,10.201692,61 OPC                         
74776,29.243067,-47.160397,66 VLMC Slc6a13                
50269,-36.315525,20.899069,53 Unresolved                  
43719,-25.908358,38.83371,53 Unresolved                  
143418,-17.075993,-13.397096,53 Unresolved                  
41324,-26.687416,-2.852028,53 Unresolved                  
159679,-51.0316,-22.864038,53 Unresolved                  
10745,-39.477978,-19.011395,53 Unresolved                  
97626,-27.849651,-34.59172,9 CTX PyrL2/L3/L4 Mef2c        
34817,43.81591,-26.315407,71 Bergmann Glia               
117917,-40.748535,-3.5963578,53 Unresolved                  
83436,-30.076271,-11.827635,53 Unresolved                  
82619,-33.79927,-18.972818,5 CTX PyrL2/L3 Pappa2          
68419,-28.46041,-1.4981623,20 THAL Glut                   
7206,-25.05219,-40.57642,9 CTX PyrL2/L3/L4 Mef2c        
26383,-24.94893,4.561843,15 CTX PyrL5/L6 Sulf1          
145809,9.051034,0.8077977,46 Migrating Int Cpa6          
54359,-48.28082,-28.756075,12 CTX PyrL5 Itgb3             
148046,-30.419682,12.872315,4 Medium Spiny Neurons         
131783,6.969746,-22.36753,4 Medium Spiny Neurons         
47383,62.138954,17.602648,61 OPC                         
106948,-27.788263,-5.617172,53 Unresolved                  
125210,-37.375034,-43.65172,17 CTX PyrL6                   
3646,38.425068,26.618801,28 CB Granule                  
7177,13.512593,-6.2522345,53 Unresolved                  
114019,38.58008,13.597493,25 CB Granule Precursor        
23817,-15.827686,-6.0389915,53 Unresolved                  
20238,14.718764,0.7533516,46 Migrating Int Cpa6          
2448,33.599567,-2.5705924,36 HIPP Granule Mki67          
115622,-39.073997,35.743835,53 Unresolved                  
53203,46.544914,-21.906643,69 Astro Prdm16                
6236,-22.123161,-20.257734,9 CTX PyrL2/L3/L4 Mef2c        
5036,38.334522,5.7273874,25 CB Granule Precursor        
132306,35.94798,4.608295,29 CB Int Precursor            
123121,-0.7935319,-14.891127,53 Unresolved                  
35742,-21.921894,20.44812,53 Unresolved                  
17258,-14.514926,-32.55559,39 HIPP Granule Nrp2           
37324,-4.7281613,-22.895487,9 CTX PyrL2/L3/L4 Mef2c        
101311,-29.33297,24.31402,53 Unresolved                  
149865,46.161057,-14.027055,69 Astro Prdm16                
41874,-14.439051,42.960938,53 Unresolved                  
106345,30.33727,36.27341,28 CB Granule                  
155840,60.83498,-22.293377,68 Astro Slc7a10               
55266,-30.602316,-6.720103,5 CTX PyrL2/L3 Pappa2          
134368,-22.399319,-30.888908,9 CTX PyrL2/L3/L4 Mef2c        
5513,-47.74905,-19.165949,11 CTX PyrL4/L5                
93084,-35.764305,-28.394571,9 CTX PyrL2/L3/L4 Mef2c        
127052,-31.90259,1.2616777,53 Unresolved                  
