,TSNE_1,TSNE_2,ClusterName
0,-31.477207,-54.702305,SCGLU5
1,32.284977,-12.121803,SCGLU5
2,45.354122,5.834129,SCGLU5
3,37.514755,1.9547116,SCGLU5
4,37.732674,1.5473782,SCGLU5
5,44.64793,4.4943886,SCGLU5
6,39.155586,5.7999597,SCGLU5
7,36.785526,4.8577123,SCGLU5
8,44.146408,-0.64985555,SCGLU5
9,33.652927,-6.7337446,SCGLU5
10,48.13369,13.189513,SCGLU5
11,31.57806,-7.104794,SCGLU5
12,-32.108906,-52.7672,SCGLU5
13,34.533543,2.3364844,SCGLU5
14,37.41407,2.5546057,SCGLU5
15,-29.799534,-53.211502,SCGLU5
16,32.05168,-3.9613695,SCGLU5
17,-3.5789816,11.022927,SCGLU5
18,39.226257,3.4375548,SCGLU5
19,-32.351364,-52.76444,SCGLU5
20,35.390305,-5.2266636,SCGLU5
21,35.899292,3.6572328,SCGLU5
22,47.338898,8.268219,SCGLU5
23,37.72897,4.2088656,SCGLU5
24,31.80966,-5.1557426,SCGLU5
25,45.707836,7.489548,SCGLU5
26,43.551327,6.3311267,SCGLU5
27,31.772379,-1.6606424,SCGLU5
28,48.776905,-1.5219129,SCGLU5
29,33.7131,-2.184541,SCGLU5
30,38.239277,-12.859546,SCGLU5
31,34.212753,-12.200156,SCGLU5
32,-31.527004,-54.110973,SCGLU5
33,-26.104315,-51.79566,SCGLU5
34,31.18472,-0.74905235,SCGLU5
35,34.663082,-6.571524,SCGLU5
36,39.340477,4.3452,SCGLU5
37,-30.543419,-53.986473,SCGLU5
38,44.09132,6.418614,SCGLU5
39,-29.016392,-53.740967,SCGLU5
40,29.336601,-7.13128,SCGLU5
41,-16.99909,-35.76213,SCGLU5
42,38.99566,2.5720494,SCGLU5
43,-29.575804,-53.00076,SCGLU5
44,-32.536865,-54.435825,SCGLU5
45,42.950985,6.036642,SCGLU5
46,-32.40769,-55.374317,SCGLU5
47,-30.212408,-51.9465,SCGLU5
48,-30.473587,-53.8779,SCGLU5
49,33.476284,-5.7359548,SCGLU5
50,-30.567427,-51.95087,SCGLU5
51,-28.791939,-53.0171,SCGLU5
52,34.76267,-17.665867,SCGLU5
53,36.35154,-0.5338235,SCGLU5
54,28.704884,-8.817195,SCGLU5
55,32.218925,-1.0579889,SCGLU5
56,30.110325,-6.8174987,SCGLU5
57,-33.301945,-56.08346,SCGLU5
58,33.019447,-5.4194946,SCGLU5
59,37.092968,3.3078473,SCGLU5
60,47.293324,14.902387,SCGLU5
61,-30.151876,-51.400497,SCGLU5
62,38.504166,3.5993063,SCGLU5
63,36.026924,1.3526872,SCGLU5
64,45.665733,-1.7996057,SCGLU5
65,35.61756,-5.863439,SCGLU5
66,49.37254,3.3642657,SCGLU5
67,28.600872,-7.991701,SCGLU5
68,32.234478,-5.7139874,SCGLU5
69,-28.977053,-52.254913,SCGLU5
70,48.98906,8.614229,SCGLU5
71,36.25353,2.5705369,SCGLU5
72,36.50557,2.1639526,SCGLU5
73,35.386395,-5.1635804,SCGLU5
74,40.98472,5.466548,SCGLU5
75,32.934666,-8.95621,SCGLU5
76,47.627533,-0.94122404,SCGLU5
77,48.37129,9.156359,SCGLU5
78,49.67645,5.398608,SCGLU5
79,34.530296,-10.415764,SCGLU5
80,39.381588,-10.301858,SCGLU5
81,38.034813,-14.845154,SCGLU5
82,36.9631,-4.4104853,SCGLU5
83,47.48202,-1.1449364,SCGLU5
84,36.110874,-14.538226,SCGLU5
85,47.826073,0.07458174,SCGLU5
86,36.512867,0.7337648,SCGLU5
87,48.13298,4.552573,SCGLU5
88,49.138218,1.6201594,SCGLU5
89,45.322636,4.993598,SCGLU5
90,47.62024,5.273209,SCGLU5
91,35.52195,-7.750216,SCGLU5
92,35.946995,-5.775017,SCGLU5
93,49.28526,6.7847285,SCGLU5
94,33.978485,-9.50863,SCGLU5
95,35.168415,0.63003415,SCGLU5
96,-33.41398,-54.278522,SCGLU5
97,45.92074,3.3094296,SCGLU5
98,38.162693,-9.925251,SCGLU5
99,50.923004,1.6836679,SCGLU5
100,40.623745,3.2716892,SCGLU5
101,51.55042,-1.1225145,SCGLU5
