Health,batch,Location,Subject,Cluster,Count,Total,Other
Healthy,0,Epi,N7,Best4+ Enterocytes,0,0,0
Healthy,0,Epi,N7,CD4+ Activated Fos-hi,0,0,0
Healthy,0,Epi,N7,CD4+ Activated Fos-lo,0,0,0
Healthy,0,Epi,N7,CD4+ Memory,0,0,0
Healthy,0,Epi,N7,CD4+ PD1+,0,0,0
Healthy,0,Epi,N7,CD8+ IELs,0,0,0
Healthy,0,Epi,N7,CD8+ IL17+,0,0,0
Healthy,0,Epi,N7,CD8+ LP,0,0,0
Healthy,0,Epi,N7,CD69+ Mast,0,0,0
Healthy,0,Epi,N7,CD69- Mast,0,0,0
Healthy,0,Epi,N7,Cycling B,0,0,0
Healthy,0,Epi,N7,Cycling Monocytes,0,0,0
Healthy,0,Epi,N7,Cycling T,0,0,0
Healthy,0,Epi,N7,Cycling TA,0,0,0
Healthy,0,Epi,N7,DC1,0,0,0
Healthy,0,Epi,N7,DC2,0,0,0
Healthy,0,Epi,N7,Endothelial,0,0,0
Healthy,0,Epi,N7,Enterocyte Progenitors,0,0,0
Healthy,0,Epi,N7,Enterocytes,0,0,0
Healthy,0,Epi,N7,Enteroendocrine,0,0,0
Healthy,0,Epi,N7,Follicular,0,0,0
Healthy,0,Epi,N7,GC,0,0,0
Healthy,0,Epi,N7,Glia,0,0,0
Healthy,0,Epi,N7,Goblet,0,0,0
Healthy,0,Epi,N7,ILCs,0,0,0
Healthy,0,Epi,N7,Immature Enterocytes 1,0,0,0
Healthy,0,Epi,N7,Immature Enterocytes 2,0,0,0
Healthy,0,Epi,N7,Immature Goblet,0,0,0
Healthy,0,Epi,N7,Inflammatory Fibroblasts,0,0,0
Healthy,0,Epi,N7,Inflammatory Monocytes,0,0,0
Healthy,0,Epi,N7,M cells,0,0,0
Healthy,0,Epi,N7,MT-hi,0,0,0
Healthy,0,Epi,N7,Macrophages,0,0,0
Healthy,0,Epi,N7,Microvascular,0,0,0
Healthy,0,Epi,N7,Myofibroblasts,0,0,0
Healthy,0,Epi,N7,NKs,0,0,0
Healthy,0,Epi,N7,Pericytes,0,0,0
Healthy,0,Epi,N7,Plasma,0,0,0
Healthy,0,Epi,N7,Post-capillary Venules,0,0,0
Healthy,0,Epi,N7,RSPO3+,0,0,0
Healthy,0,Epi,N7,Secretory TA,0,0,0
Healthy,0,Epi,N7,Stem,0,0,0
Healthy,0,Epi,N7,TA 1,0,0,0
Healthy,0,Epi,N7,TA 2,0,0,0
Healthy,0,Epi,N7,Tregs,0,0,0
Healthy,0,Epi,N7,Tuft,0,0,0
Healthy,0,Epi,N7,WNT2B+ Fos-hi,0,0,0
Healthy,0,Epi,N7,WNT2B+ Fos-lo 1,0,0,0
Healthy,0,Epi,N7,WNT2B+ Fos-lo 2,0,0,0
Healthy,0,Epi,N7,WNT5B+ 1,0,0,0
Healthy,0,Epi,N7,WNT5B+ 2,0,0,0
Healthy,0,Epi,N8,Best4+ Enterocytes,21,932,911
Healthy,0,Epi,N8,CD4+ Activated Fos-hi,0,932,932
Healthy,0,Epi,N8,CD4+ Activated Fos-lo,0,932,932
Healthy,0,Epi,N8,CD4+ Memory,0,932,932
Healthy,0,Epi,N8,CD4+ PD1+,0,932,932
Healthy,0,Epi,N8,CD8+ IELs,0,932,932
Healthy,0,Epi,N8,CD8+ IL17+,0,932,932
Healthy,0,Epi,N8,CD8+ LP,0,932,932
Healthy,0,Epi,N8,CD69+ Mast,0,932,932
Healthy,0,Epi,N8,CD69- Mast,0,932,932
Healthy,0,Epi,N8,Cycling B,0,932,932
Healthy,0,Epi,N8,Cycling Monocytes,0,932,932
Healthy,0,Epi,N8,Cycling T,0,932,932
Healthy,0,Epi,N8,Cycling TA,120,932,812
Healthy,0,Epi,N8,DC1,0,932,932
Healthy,0,Epi,N8,DC2,0,932,932
Healthy,0,Epi,N8,Endothelial,0,932,932
Healthy,0,Epi,N8,Enterocyte Progenitors,128,932,804
Healthy,0,Epi,N8,Enterocytes,42,932,890
Healthy,0,Epi,N8,Enteroendocrine,6,932,926
Healthy,0,Epi,N8,Follicular,0,932,932
Healthy,0,Epi,N8,GC,0,932,932
Healthy,0,Epi,N8,Glia,0,932,932
Healthy,0,Epi,N8,Goblet,12,932,920
Healthy,0,Epi,N8,ILCs,0,932,932
Healthy,0,Epi,N8,Immature Enterocytes 1,35,932,897
Healthy,0,Epi,N8,Immature Enterocytes 2,88,932,844
Healthy,0,Epi,N8,Immature Goblet,58,932,874
